Timestamp,Game,1. My overall experience with The Fresh Connection was positive.,2. The simulation helped me understand sustainability concepts effectively.,3. The experience gave me new perspectives on international supply chains.,4. I did or could develop valuable skills through participating in the game.,"5. The technical aspects (e.g., platform functionality, access, etc.) were easy to navigate.","The next question relates to the use of The Fresh Connection game with the International Supply Chain Management 1 (ISCM1) Course.

I find the use of TFC game useful in my learning journey in the International Supply Chain Management 1 class.","I understand better the topics or concepts (Supply chain, Source, Make, Deliver, Customer Service) discussed in ISCM1 class using The Fresh Connection game.",I believe that the TFC game should be used by future students taking ISCM1 class.,
6/3/2025 13:41:21,TFC,5,5,5,5,4,4,5,5,
6/11/2025 16:33:44,TFC,4,4,4,3,3,4,4,5,
6/11/2025 16:33:45,TFC,4,4,4,3,3,4,4,5,
6/12/2025 12:14:39,TFC,3,2,2,3,4,4,3,3,
6/12/2025 12:19:36,TFC,4,3,3,4,4,3,4,5,
6/12/2025 12:21:36,TFC,4,3,4,3,4,4,4,4,
6/24/2025 13:20:58,TFC,3,2,4,3,2,2,2,4,
6/24/2025 13:22:31,TFC,4,4,4,5,3,5,4,4,
6/24/2025 13:22:43,TFC,3,5,3,4,4,2,4,3,
6/24/2025 13:22:45,TFC,3,3,3,2,3,3,3,3,
6/24/2025 13:23:05,TFC,2,2,2,2,3,1,1,3,
6/24/2025 13:23:10,TFC,4,3,4,4,5,4,2,5,
6/24/2025 13:23:22,TFC,5,5,4,5,5,5,5,5,
6/24/2025 13:24:28,TFC,5,5,5,5,4,5,5,5,
6/24/2025 13:25:00,TFC,2,2,4,2,5,2,3,2,
6/24/2025 13:25:33,TFC,4,3,4,4,3,3,4,4,
6/24/2025 13:26:01,TFC,4,3,2,4,4,4,2,3,
6/24/2025 13:26:20,TFC,5,5,5,5,3,4,5,5,
11/21/2024 14:24:21,TTC,4,4,4,4,3,4,3,4,
11/21/2024 14:54:48,TTC,2,2,3,3,2,3,4,3,
11/21/2024 15:01:53,TTC,1,3,5,1,5,2,2,5,
11/21/2024 15:52:10,TTC,4,3,5,4,4,4,3,5,
11/21/2024 17:21:59,TTC,3,3,5,4,2,2,2,1,
11/22/2024 9:17:15,TTC,5,5,5,5,5,5,5,5,
11/26/2024 12:03:08,TTC,4,3,3,3,4,3,4,3,
11/26/2024 13:52:00,TTC,4,5,5,4,4,5,4,5,
11/26/2024 13:52:21,TTC,5,5,5,5,5,5,5,5,
11/26/2024 13:52:59,TTC,5,5,5,5,5,5,5,5,
11/26/2024 13:53:20,TTC,3,4,4,3,2,4,3,4,
11/26/2024 13:54:00,TTC,4,4,4,4,3,4,4,4,
11/26/2024 13:54:32,TTC,4,4,3,3,3,4,4,4,
11/26/2024 13:55:09,TTC,4,5,5,4,4,5,4,5,
11/26/2024 13:55:54,TTC,5,4,4,4,3,4,2,4,
11/26/2024 13:57:29,TTC,4,3,3,4,3,3,3,3,
