"Ranking Version (Using a 1–5 Scale)
Instructions: Please rate each statement on a scale from 1 to 5, where 1 = Strongly Disagree and 5 = Strongly Agree.
1. My overall experience with The Fresh Connection was positive.",2. The simulation helped me understand sustainability concepts effectively.,3. The experience gave me new perspectives on international supply chains.,4. I did or could develop valuable skills through participating in the game.,5. The technical aspects (e.g., platform functionality, access, etc.) were easy to navigate.,I find the use of TFC game useful in my learning journey in the International Supply Chain Management 1 class.,I understand better the topics or concepts (Supply chain, Source, Make, Deliver, Customer Service) discussed in ISCM1 class using The Fresh Connection game.,I believe that the TFC game should be used by future students taking ISCM1 class.,
5,5,5,5,4,4,5,5,
4,4,4,3,3,4,4,5,
4,4,4,3,3,4,4,5,
3,2,2,3,4,4,3,3,
4,3,3,4,4,3,4,5,
4,3,4,3,4,4,4,4,
3,2,4,3,2,2,2,4,
4,4,4,5,3,5,4,4,
3,5,3,4,4,2,4,3,
3,3,3,2,3,3,3,3,
2,2,2,2,3,1,1,3,
4,3,4,4,5,4,2,5,
5,5,4,5,5,5,5,5,
5,5,5,5,4,5,5,5,
2,2,4,2,5,2,3,2,
4,3,4,4,3,3,4,4,
4,3,2,4,4,4,2,3,
5,5,5,5,3,4,5,5,
4,4,4,4,3,4,3,4,
2,2,3,3,2,3,4,3,
1,3,5,1,5,2,2,5,
4,3,5,4,4,4,3,5,
3,3,5,4,2,2,2,1,
5,5,5,5,5,5,5,5,
4,3,3,3,4,3,4,3,
4,5,5,4,4,5,4,5,
5,5,5,5,5,5,5,5,
5,5,5,5,5,5,5,5,
3,4,4,3,2,4,3,4,
4,4,4,4,3,4,4,4,
4,4,3,3,3,4,4,4,
4,5,5,4,4,5,4,5,
5,4,4,4,3,4,2,4,
4,3,3,4,3,3,3,3,
